candidate_id,class_id,scale_bin,contrast_bin,morphology_bin,median_confidence,median_iou,std_confidence,std_iou,weakness_score,boundary_score,manifold_score,consensus_score,anchor_score,final_score,manifold_valid,selected,selection_group
dwbg_1_42_30_000076,1,large,high,elongated,0.013333538547158241,0.6404678225517273,0.18025334179401398,0.1430860310792923,0.7208333333333333,0.40383275878238867,0.6136518847775966,0.1985534661252175,0.001685597875977971,0.08330573686093781,True,False,
dwbg_1_42_33_000077,1,tiny,high,medium,0.19934771955013275,0.5476717948913574,0.12861937284469604,0.06175427883863449,0.7249999999999999,0.8339608027421929,0.7352994089196071,0.3860191658006499,0.016872645824867662,0.22084144921933527,True,True,hard
dwbg_1_42_34_000078,1,large,high,medium,0.408550500869751,0.6025035977363586,0.1919616311788559,0.301349937915802,0.7,0.9729473694981685,0.7698268841483011,0.0848765148311132,0.02108349526498717,0.11367765698280252,True,True,anchor
dwbg_1_42_35_000079,1,medium,high,compact,0.13115283846855164,0.67476487159729,0.13276910781860352,0.06343558430671692,0.7166666666666666,0.6817088347054767,0.6821283098297483,0.37492717921582586,0.009017507032200575,0.1728016329994257,True,False,
dwbg_1_42_6_000080,1,tiny,medium,elongated,0.0,0.0,0.0,0.0,0.775,0.0,0.5670384248149047,1.0,0.006340267610679203,2.9132066182527373e-05,True,False,
dwbg_1_42_9_000081,1,tiny,low,elongated,0.0,0.0,0.0,0.0,0.8041666666666666,0.0,0.6821947490843757,1.0,0.007116320853951722,4.0633259276047635e-05,True,True,anchor
dwbg_0_3407_0_000082,0,large,medium,medium,0.0,0.0,0.004068528302013874,0.20356927812099457,0.20161290322580647,0.0,0.6482874679794427,0.35409535698244504,0.05225652702766657,6.262242468862358e-14,True,False,
dwbg_0_3407_10_000083,0,medium,high,elongated,0.28413158655166626,0.5210355520248413,0.13950306177139282,0.05915706977248192,0.1975806451612903,0.7053178230190269,0.7355602153852271,0.37035226536509175,0.1695356144384105,0.04493208134531687,True,True,hard
dwbg_0_3407_11_000084,0,medium,medium,elongated,0.1297260820865631,0.6317002177238464,0.03071308135986328,0.021314024925231934,0.20564516129032256,0.19997936155353838,0.7002694603536647,0.7709470911643405,0.19380369977979173,0.009462509501362265,True,True,anchor
dwbg_0_3407_12_000085,0,tiny,medium,elongated,0.0,0.0,0.07288295030593872,0.35376009345054626,0.2338709677419355,0.0,0.6944512345140589,0.11845581954347273,0.018344042418422205,4.658189424276706e-14,True,False,
dwbg_0_3407_13_000086,0,large,low,elongated,0.0023295171558856964,0.6077104210853577,0.016613150015473366,0.303094744682312,0.1919102822580645,0.0,0.4797994380525698,0.2021916086530891,0.022401165404645547,2.8679357023207524e-14,True,False,
dwbg_0_3407_14_000087,0,large,low,elongated,0.0010959295323118567,0.0,0.003693659557029605,0.25280195474624634,0.1919102822580645,0.0,0.5826012587086737,0.27734915712478864,0.03714962748572808,4.494369734171155e-14,True,False,
dwbg_0_3407_15_000088,0,medium,low,compact,0.0010485926177352667,0.7326889634132385,0.0027650748379528522,0.37123969197273254,0.1944304435483871,0.0,0.6941601920642997,0.15411998846731692,0.024554099627208018,4.414518160335945e-14,True,False,
dwbg_0_3407_16_000089,0,tiny,medium,elongated,0.0,0.0,0.0,0.0,0.2338709677419355,0.0,0.4950835185926855,1.0,0.11040159778642678,8.14693058554854e-14,True,False,
dwbg_0_3407_17_000090,0,tiny,high,elongated,0.0,0.0,0.0006370424525812268,0.21250282227993011,0.22580645161290325,0.0,0.31254944320198236,0.3444868626967892,0.024135822190679224,2.315798523490758e-14,False,False,
dwbg_0_3407_18_000091,0,large,high,compact,0.005100483540445566,0.7955919504165649,0.004460855387151241,0.4024279713630676,0.18397177419354838,0.0,0.7350385099781901,0.13075314356668497,0.02252069147235091,4.1922039789251825e-14,True,False,
dwbg_0_3407_19_000092,0,tiny,high,compact,0.0,0.0,0.0,0.0,0.22026209677419356,0.0,0.5274078662962822,1.0,0.11864975774133191,8.436448771008085e-14,True,False,
